Report Report,,,,,,,,
,,,,,,,,
item id,item name,category,brand,quantity in stock,Physically in Dxb,Physically in Khi,Difference,
164,STEAM DECK 256 GB,Gaming Console,Valve,0,,,0,
165,STEAM DECK OLED 1 TB,Gaming Console,Valve,0,,,0,
166,STEAM DECK OLED 512 GB,Gaming Console,Valve,0,,,0,
39,XBOX SERIES X,Gaming Console,Microsoft,0,,,0,
,HP Chromebook Plus x360,,,0,1,,-1,
,Lenovo Idea Pad 1,,,0,1,,-1,
,HP 15-fc0509ds,,,0,2,,-2,
,Meta HSTN,,,0,1,,-1,
,Valve Power Adapter,,,0,3,,-3,
,MacBook Pro M1,,,0,1,,-1,
,"MacBook Air M4 13"" MW123LL/A",,,0,1,,-1,
